Property,Article,with leak (opt),no leak (opt),with leak,no leak,Full df
Formation energy,0.039,0.077,0.075,0.076,0.08,0.074
Absolute energy,0.072,0.147,0.12,0.132,0.123,0.127
Band gap,0.388,0.502,0.524,0.505,0.52,0.407
Fermi energy,0.363,0.482,0.478,0.474,0.464,0.512
Bulk moduli,0.054,0.168,0.165,0.159,0.172,0.206
Shear moduli,0.087,0.247,0.248,0.246,0.246,0.336
Poisson ratio,0.03,0.032,0.032,0.032,0.034,0.177
Property,ratio,,,,,
Formation energy,2.05128205128205,,,,,
Absolute energy,1.70833333333333,,,,,
Band gap,1.34020618556701,,,,,
Fermi energy,1.27823691460055,,,,,
Bulk moduli,3.18518518518519,,,,,
Shear moduli,2.83141762452107,,,,,
Poisson ratio,1.13333333333333,,,,,
,with leak (opt),no leak (opt),with leak,no leak,Full df,
k_voigt,0.144,0.153,0.14,0.146,0.167,
k_reuss,0.196,0.183,0.177,0.203,0.254,
k_vrh,0.163,0.159,0.159,0.167,0.196,
g_voigt,0.215,0.208,0.203,0.204,0.262,
g_reuss,0.304,0.304,0.303,0.307,0.442,
g_vrh,0.221,0.233,0.232,0.228,0.303,
homogeneous_poisson,0.032,0.032,0.032,0.034,0.177,
band_gap,0.502,0.524,0.505,0.52,0.407,
energy_per_atom,0.147,0.12,0.132,0.123,0.127,
formation_energy_per_atom,0.077,0.075,0.076,0.08,0.074,
efermi,0.482,0.478,0.474,0.464,0.512,
full df,,,,,,
energy_per_atom,0.127,,,,,
formation_energy_per_atom,0.074,,,,,
band_gap,0.407,,,,,
efermi,0.512,,,,,
k_voigt,0.167,,,,,
k_reuss,0.254,,,,,
k_vrh,0.196,,,,,
g_voigt,0.262,,,,,
g_reuss,0.442,,,,,
g_vrh,0.303,,,,,
homogeneous_poisson,0.177,,,,,
